Nom / Nombre;Adreça / Direccion;Id. Aparcament / Id. Aparcamiento;Portal;Tipus / Tipo;Places Totals / Plazas Totales;Data Última Modificació / Fecha Ultima Modificación;objectid;fiwareid;geo_shape;geo_point_2d
INTERIOR HOSPITAL GENERAL UNIVERSITARIO DE VALENCIA;Casa Misericordia;11.0;1acc;0;263;;640;;"{""coordinates"": [-0.41003739916241133, 39.46857562682237], ""type"": ""Point""}";39.46857562682237, -0.41003739916241133
AVINGUDA DE L’OEST;C. Hospital;75.0;1;0;270;2026-02-25T20:00:40+01:00;709;parking_75;"{""coordinates"": [-0.3798712802433029, 39.47122430252716], ""type"": ""Point""}";39.47122430252716, -0.3798712802433029
PROFESOR TIERNO GALVÁN;C. Padre Urbano - Pl. Profesor Tierno Galván;79.0;S/N;0;375;2026-02-25T20:00:02+01:00;616;parking_79;"{""coordinates"": [-0.37126764227836423, 39.48875134162354], ""type"": ""Point""}";39.48875134162354, -0.37126764227836423
REINA;Plaça de la Reina;5.0;S/N;0;234;2026-02-25T20:00:05+01:00;711;parking_5;"{""coordinates"": [-0.3755337454841827, 39.474018649210635], ""type"": ""Point""}";39.474018649210635, -0.3755337454841827
PARKING NAVARRO LLORENS - ABASTOS;Pintor Navarro Llorens;73.0;S/N;0;391;;635;;"{""coordinates"": [-0.3876034010344055, 39.46705538942175], ""type"": ""Point""}";39.46705538942175, -0.3876034010344055
MARTI GRAJALES (MERCADO DEL CABAÑAL);Calle Martí Grajales;76.0;S/N;0;369;;637;;"{""coordinates"": [-0.3331683457411016, 39.468412338176336], ""type"": ""Point""}";39.468412338176336, -0.3331683457411016
PASEO NEPTUNO - EUGENIA VIÑES;Paseo Neptuno - calle Eugenia Viñes;81.0;S/N;0;373;2017-05-15T13:56:23+02:00;682;;"{""coordinates"": [-0.32353924076080165, 39.46346133852086], ""type"": ""Point""}";39.46346133852086, -0.32353924076080165
SEVERO OCHOA;Profesor Severo Ochoa;78.0;S/N;0;464;2026-02-25T20:01:00+01:00;613;parking_78;"{""coordinates"": [-0.3641397437287907, 39.477034045038], ""type"": ""Point""}";39.477034045038, -0.3641397437287907
GLORIETA - PAZ;Pl. Tetuán, calle de la Paz y calle General Tovar;6.0;S/N;0;372;2026-02-25T20:00:00+01:00;702;parking_6;"{""coordinates"": [-0.36982637018307707, 39.47368117165146], ""type"": ""Point""}";39.47368117165146, -0.36982637018307707
REINO DE VALENCIA;Maestro Gozalbo;8.0;23;0;192;2026-02-25T19:59:09+01:00;708;parking_8;"{""coordinates"": [-0.36876652001024524, 39.464486259601976], ""type"": ""Point""}";39.464486259601976, -0.36876652001024524
