geo_point_2d;Geo Shape;Nombre;Financiaci;Tipo;Camas;Direccion;Fecha;Barrio;codbarrio;coddistbar;coddistrit;X;Y
39.48720064096837, -0.3727348827238974;"{""coordinates"": [[-0.372734882723897, 39.48720064096837]], ""type"": ""MultiPoint""}";Consultorio Local Valencia - Bilbao;Publico;Consultorio;0;C/ BILBAO, Nº 23;2021-06-30;SANT ANTONI;5;055;5;725946.4;4374139.5
39.489062287125066, -0.3806150217442672;"{""coordinates"": [[-0.380615021744267, 39.489062287125066]], ""type"": ""MultiPoint""}";Centro de Salud Just Ramírez;Publico;Centro de Salud;0;Carrer de Just Ramírez, s/n;2021-06-30;TORMOS;4;054;5;725262.6;4374326.4
39.453971734775656, -0.37672417269614206;"{""coordinates"": [[-0.376724172696142, 39.453971734775656]], ""type"": ""MultiPoint""}";Centro de Salud Valencia - Ingeniero J. Benlloch;Publico;Centro de Salud;0;Carrer de Joaquin Benlloch, 27;2021-06-30;MALILLA;3;103;10;725710.7;4370441.0
39.49355638112564, -0.38363680125727323;"{""coordinates"": [[-0.383636801257273, 39.49355638112564]], ""type"": ""MultiPoint""}";Centro de Salud Valencia - Juan XXIII;Publico;Centro de Salud;0;Av. de Juan XXIII, 39;2021-06-30;BENICALAP;1;161;16;724988.2;4374817.7
39.465653726583945, -0.33264701648057127;"{""coordinates"": [[-0.332647016480571, 39.465653726583945]], ""type"": ""MultiPoint""}";Centro de Salud Vicente Brull;Publico;Centro de Salud;0;Carrer de Vicent Brull, 71;2021-06-30;CABANYAL-CANYAMELAR;2;112;11;729465.3;4371849.1
39.463567916612526, -0.37776185672653634;"{""coordinates"": [[-0.377761856726536, 39.463567916612526]], ""type"": ""MultiPoint""}";Clinica Fontana;Privado;Hospital;7;Calle Alicante, 31;2021-06-30;RUSSAFA;1;021;2;725590.4;4371503.6
39.47800234108762, -0.40156762072959135;"{""coordinates"": [[-0.401567620729591, 39.47800234108762]], ""type"": ""MultiPoint""}";Hospital 9 de Octubre;Privado;Hospital;300;Av. Valle de la Ballestera, 59;2021-06-30;SANT PAU;4;044;4;723495.9;4373046.5
39.42867458574292, -0.36368737621156644;"{""coordinates"": [[-0.363687376211566, 39.42867458574292]], ""type"": ""MultiPoint""}";Centro de Salud Valencia - Castellar - Oliveral;Publico;Centro de Salud;0;Calle Vicente Puchol, 11;2021-06-30;CASTELLAR-L'OLIVERAL;2;192;19;726914.7;4367665.7
39.47040830182208, -0.39856550573606303;"{""coordinates"": [[-0.398565505736063, 39.47040830182208]], ""type"": ""MultiPoint""}";Centro de Salud Nou Moles;Publico;Centro de Salud;0;Carrer de l'Art Major de la Seda, 40;2021-06-30;NOU MOLES;1;071;7;723778.5;4372211.0
39.46069047464604, -0.38716041179595584;"{""coordinates"": [[-0.387160411795956, 39.46069047464604]], ""type"": ""MultiPoint""}";Clinica Virgen del Consuelo;Privado;Hospital;156;Calle Callosa de Ensarria, 12;2021-06-30;LA RAIOSA;1;091;9;724791.0;4371160.7
39.47086227956761, -0.35565426692611657;"{""coordinates"": [[-0.355654266926117, 39.47086227956761]], ""type"": ""MultiPoint""}";Consultorio Local Valencia - Chile;Publico;Consultorio;0;Carrer de Xile, 22;2021-06-30;MESTALLA;2;062;6;727468.8;4372368.9
39.442922674139716, -0.3440485455005139;"{""coordinates"": [[-0.344048545500514, 39.442922674139716]], ""type"": ""MultiPoint""}";Consultorio Auxiliar de La Punta;Publico;Consultorio;0;Av. de Jesús Morante Borrás, 176;2021-06-30;LA PUNTA;6;106;10;728558.7;4369296.9
39.47564498308626, -0.3730095019393555;"{""coordinates"": [[-0.373009501939356, 39.47564498308626]], ""type"": ""MultiPoint""}";Centro de Salud Valencia - Napoles y Sicilia;Publico;Centro de Salud;0;Plaza Nápoles y Sicilia, 4;2021-06-30;LA XEREA;2;012;1;725960.2;4372856.1
39.42208019523143, -0.33827070772144946;"{""coordinates"": [[-0.338270707721449, 39.42208019523143]], ""type"": ""MultiPoint""}";Consultorio Pinedo;Publico;Consultorio;0;Carrer Marino Villamil, 8;2021-06-30;PINEDO;3;193;19;729124.3;4366998.0
39.494487790911265, -0.37281272693617756;"{""coordinates"": [[-0.372812726936178, 39.494487790911265]], ""type"": ""MultiPoint""}";Centro de Salud Salvador Allende;Publico;Centro de Salud;0;Carrer del Comte de Lumiares, 3;2021-06-30;TORREFIEL;2;152;15;725916.1;4374948.2
