Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Padre Barranco - Carlos Ruano Llopis (Pintor);225;T;6;14;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.40114246019172434, 39.488107390420495], ""type"": ""Point""}";39.488107390420495, -0.40114246019172434;2026-02-25T21:26:38+01:00
Aitana - Florista;229;T;1;14;16;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39480643424749534, 39.493104403991694], ""type"": ""Point""}";39.493104403991694, -0.39480643424749534;2026-02-25T21:26:32+01:00
Doctor Nicasio Benlloch - L'Horta Sud;228;T;0;15;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.398671446907537, 39.4936924079167], ""type"": ""Point""}";39.4936924079167, -0.398671446907537;2026-02-25T21:26:03+01:00
Manuel de Falla - Hernández Lázaro;221;T;1;19;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.4028534760386356, 39.475270348637764], ""type"": ""Point""}";39.475270348637764, -0.4028534760386356;2026-02-25T21:26:39+01:00
Periodista Gil Sumbiela - Poeta Serrano Clavero;206;T;0;15;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38900741524280136, 39.49271239990425], ""type"": ""Point""}";39.49271239990425, -0.38900741524280136;2026-02-25T21:26:14+01:00
Carteros - Mossen Febrer;208;T;5;15;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38857844617931064, 39.451692263769644], ""type"": ""Point""}";39.451692263769644, -0.38857844617931064;2026-02-25T21:20:36+01:00
Campos Crespo - Juan de Garay;210;T;9;6;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39671647037206986, 39.45555328036534], ""type"": ""Point""}";39.45555328036534, -0.39671647037206986;2026-02-25T21:27:28+01:00
Av. del Cid - Burgos;216;T;0;17;17;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3994613007254756, 39.469162243634074], ""type"": ""Point""}";39.469162243634074, -0.3994613007254756;2026-02-25T21:19:07+01:00
Olimpia Arozena Torres - Juan Bautista Vives;218;T;5;10;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3973844614710405, 39.47074033078547], ""type"": ""Point""}";39.47074033078547, -0.3973844614710405;2026-02-25T21:28:09+01:00
Maestro Rodrigo - Manuel de Falla;222;T;16;4;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39728245609920837, 39.47689335174765], ""type"": ""Point""}";39.47689335174765, -0.39728245609920837;2026-02-25T21:27:16+01:00
Jorge Comin (Metge) - Terrateig;224;T;10;10;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.40358847435527895, 39.480568366964896], ""type"": ""Point""}";39.480568366964896, -0.40358847435527895;2026-02-25T21:26:36+01:00
Nueve de Octubre - Cieza;245;T;1;19;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.40527029936434095, 39.47213024806011], ""type"": ""Point""}";39.47213024806011, -0.40527029936434095;2026-02-25T21:28:32+01:00
Tres Cruces - Músico Ayllón;247;T;1;14;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.4055734914728698, 39.467410323935766], ""type"": ""Point""}";39.467410323935766, -0.4055734914728698;2026-02-25T21:19:55+01:00
San Jose Artesano - Francisco Morote Greus;238;T;6;8;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39438342966293366, 39.497449418355934], ""type"": ""Point""}";39.497449418355934, -0.39438342966293366;2026-02-25T21:21:18+01:00
Valle de la Ballestera - Pio Baroja;244;T;1;19;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.40613648554970433, 39.47850636088407], ""type"": ""Point""}";39.47850636088407, -0.40613648554970433;2026-02-25T21:27:37+01:00
