Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Tres Cruces - Hospital General;246;T;3;17;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.4065094941412157, 39.469090330003425], ""type"": ""Point""}";39.469090330003425, -0.4065094941412157;2026-02-25T21:25:25+01:00
Tres Cruces - Pio XI;250;T;4;11;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.4008070181198941, 39.456352245577065], ""type"": ""Point""}";39.456352245577065, -0.4008070181198941;2026-02-25T21:21:36+01:00
Dels Gremis - Campos Crespo;252;T;7;12;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.40357449843597065, 39.45028826570709], ""type"": ""Point""}";39.45028826570709, -0.40357449843597065;2026-02-25T21:18:29+01:00
Rio Segre - Rafael Company;236;T;3;12;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.38227839001583847, 39.49506640496422], ""type"": ""Point""}";39.49506640496422, -0.38227839001583847;2026-02-25T21:28:22+01:00
Camp del Turia - Corts Valencianes;240;T;0;20;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.40154745608135123, 39.495004413973305], ""type"": ""Point""}";39.495004413973305, -0.40154745608135123;2026-02-25T21:19:14+01:00
Juan Llorens - Literato Gabriel Miró;21;T;2;14;16;F;25/02/2026 20:29:29;"{""coordinates"": [-0.39021443540491124, 39.4723713328859], ""type"": ""Point""}";39.4723713328859, -0.39021443540491124;2026-02-25T21:24:07+01:00
Autopista del Saler - Antonio Ferrandis (C.C. El Saler);50;T;25;15;40;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3528593228128155, 39.453318252515686], ""type"": ""Point""}";39.453318252515686, -0.3528593228128155;2026-02-25T21:23:24+01:00
Ramiro de Maeztu - Peris Brell;72;T;14;0;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.34644628196214244, 39.467257201162404], ""type"": ""Point""}";39.467257201162404, -0.34644628196214244;2026-02-25T21:25:32+01:00
Blasco Ibañez - Jaime Roig;85;T;6;17;23;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3647153422684407, 39.479464345022826], ""type"": ""Point""}";39.479464345022826, -0.3647153422684407;2026-02-25T21:23:34+01:00
Plaza de Europa;54;T;17;2;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3526903171951741, 39.459778273617445], ""type"": ""Point""}";39.459778273617445, -0.3526903171951741;2026-02-25T21:26:00+01:00
Francia - Menorca;56;T;12;2;15;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3444052893928658, 39.45842126509135], ""type"": ""Point""}";39.45842126509135, -0.3444052893928658;2026-02-25T21:24:56+01:00
Plaza España;58;T;1;19;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.3815864106638383, 39.46621830848607], ""type"": ""Point""}";39.46621830848607, -0.3815864106638383;2026-02-25T21:25:17+01:00
Juan Verdeguer - Toneleros;67;T;8;6;14;F;25/02/2026 20:29:29;"{""coordinates"": [-0.33679826304022287, 39.45886026320377], ""type"": ""Point""}";39.45886026320377, -0.33679826304022287;2026-02-25T21:25:06+01:00
Blasco Ibañez - Aragón;92;T;1;16;20;F;25/02/2026 20:29:29;"{""coordinates"": [-0.35596831583559707, 39.47586032883543], ""type"": ""Point""}";39.47586032883543, -0.35596831583559707;2026-02-25T21:26:07+01:00
Blasco Ibañez, 28 (F. Geografía e Historia);88;T;4;36;40;F;25/02/2026 20:29:29;"{""coordinates"": [-0.36114233248377353, 39.477512336096844], ""type"": ""Point""}";39.477512336096844, -0.36114233248377353;2026-02-25T21:19:32+01:00
