Carrer / Calle;Tipus Carrer / Tipo Calle;Núm. Finca;OBJECTID;geo_shape;geo_point_2d
ALAMEDA;PSO;52;68895;"{""coordinates"": [-0.3467677908747801, 39.455540235815015], ""type"": ""Point""}";39.455540235815015, -0.3467677908747801
CANOVAS DEL CASTILLO;PL;5;68897;"{""coordinates"": [-0.3657020361471509, 39.467986072459254], ""type"": ""Point""}";39.467986072459254, -0.3657020361471509
SANTO DOMINGO DE GUZMAN;PL;S/N;68900;"{""coordinates"": [-0.39623213118837036, 39.447871037444266], ""type"": ""Point""}";39.447871037444266, -0.39623213118837036
MORA DE RUBIELOS;C;2ac;68910;"{""coordinates"": [-0.3851232447445026, 39.4591878125982], ""type"": ""Point""}";39.4591878125982, -0.3851232447445026
MARINO BLAS DE LEZO;C;S/N;68914;"{""coordinates"": [-0.3348126583262062, 39.469625872721096], ""type"": ""Point""}";39.469625872721096, -0.3348126583262062
ALFONSO EL MAGNANIMO;PL;6;68917;"{""coordinates"": [-0.37079117231403963, 39.471440123252314], ""type"": ""Point""}";39.471440123252314, -0.37079117231403963
REAL DE MADRID;AV;14;68919;"{""coordinates"": [-0.3907292927032907, 39.43560077207079], ""type"": ""Point""}";39.43560077207079, -0.3907292927032907
VIRGEN DE LA FUENSANTA;C;2;68923;"{""coordinates"": [-0.4077422599062557, 39.46719317264192], ""type"": ""Point""}";39.46719317264192, -0.4077422599062557
DOLORES MARQUES;C;21ac;68927;"{""coordinates"": [-0.3626167292652616, 39.48754595788804], ""type"": ""Point""}";39.48754595788804, -0.3626167292652616
EDUARDO PRIMO YUFERA (CIENTIFIC);C;1B;68937;"{""coordinates"": [-0.3486176480853993, 39.452533259805286], ""type"": ""Point""}";39.452533259805286, -0.3486176480853993
PLATA;AV;34;68939;"{""coordinates"": [-0.36393594076011276, 39.45622831913782], ""type"": ""Point""}";39.45622831913782, -0.36393594076011276
XATIVA;C;21;68940;"{""coordinates"": [-0.37550999504314586, 39.467281862509196], ""type"": ""Point""}";39.467281862509196, -0.37550999504314586
JOAQUIN BENLLOCH;C;20;68943;"{""coordinates"": [-0.3764236436806472, 39.45305330292055], ""type"": ""Point""}";39.45305330292055, -0.3764236436806472
GUILLEM DE CASTRO;C;143;68945;"{""coordinates"": [-0.3839740042565696, 39.4762869246064], ""type"": ""Point""}";39.4762869246064, -0.3839740042565696
FERIAS;AV;2;68948;"{""coordinates"": [-0.4260164420175356, 39.503384509227786], ""type"": ""Point""}";39.503384509227786, -0.4260164420175356
SAN LAZARO;C;1ac;68949;"{""coordinates"": [-0.39288102573760775, 39.453106334529465], ""type"": ""Point""}";39.453106334529465, -0.39288102573760775
JUAN VERDEGUER;C;S/N;68954;"{""coordinates"": [-0.3334392873981905, 39.45929780501868], ""type"": ""Point""}";39.45929780501868, -0.3334392873981905
DUQUE DE MANDAS;C;7ac;68955;"{""coordinates"": [-0.37062647827524386, 39.494682573155224], ""type"": ""Point""}";39.494682573155224, -0.37062647827524386
PRIMERO DE MAYO;AV;33ac;68957;"{""coordinates"": [-0.3896480621188311, 39.44924485849913], ""type"": ""Point""}";39.44924485849913, -0.3896480621188311
