"identificador";"nombre_servicio";"tipo_servicio";"distrito_asignado";"latitud";"longitud"
"PA54";"Les Arts (2041)";"Parada EMT";"CAMINS AL GRAU";39,4567452306967;-0,356763997906336
"PA55";"Ciutat de la Justícia (2042)";"Parada EMT";"CAMINS AL GRAU";39,4546172553015;-0,354344038012819
"PA56";"Cavite - Riu Tajo (14)";"Parada EMT";"ALGIROS";39,4762090309964;-0,326508661732223
"PA57";"Blasco Ibáñez - Actor Enrique Rambal (125)";"Parada EMT";"ALGIROS";39,4729421561423;-0,342481069507612
"PA58";"Blasco Ibáñez - Jaume Roig (162)";"Parada EMT";"EL PLA DEL REAL";39,4796570260521;-0,365512117035121
"PA59";"Cavanilles - Primat Reig (171)";"Parada EMT";"BENIMACLET";39,4839996808677;-0,364204596096005
"PA60";"Reus (1809)";"Parada EMT";"LA SAIDIA";39,4857752458798;-0,380030545189326
"PA61";"Pl. Amèrica - Navarro Reverter (2206)";"Parada EMT";"EL PLA DEL REAL";39,4706842963996;-0,3658702891536
"PA62";"Centre de Salut Xile (1802)";"Parada EMT";"EL PLA DEL REAL";39,4718488134662;-0,3559018375615
"PA63";"Carrera del Riu (parell) - Rotonda Autovia (2207)";"Parada EMT";"QUATRE CARRERES";39,4308050198614;-0,342193798905704
"PA64";"Fra Juníper Serra - Tres Forques (2267)";"Parada EMT";"PATRAIX";39,4631346760185;-0,4006735938966
"PA65";"Velòdrom Lluís Puig (393)";"Parada EMT";"POBLATS DE L'OEST";39,501688776036;-0,426272562163733
"PA66";"Benifaraig a Montcada - Boquera (296)";"Parada EMT";"POBLATS DEL NORD";39,5252665656752;-0,386220935518191
"PA67";"Camí de Montcada (imparell) - Matador (299)";"Parada EMT";"POBLATS DEL NORD";39,5153363644767;-0,387011439629845
"PA68";"Constitució - Pla de la Saïdia (329)";"Parada EMT";"LA SAIDIA";39,4830881376471;-0,3788399571551
"PA69";"Joaquím Ballester (imparell) - Ricardo Micó (361)";"Parada EMT";"LA SAIDIA";39,4826947759021;-0,389747252471373
"PA70";"Avinguda del Cid (488)";"Parada EMT";"L'OLIVERETA";39,4697106514173;-0,416107632678802
"PA71";"Cementeri (564)";"Parada EMT";"JESUS";39,4480624219084;-0,396223302115055
"PA72";"Carrera del Riu - Entrada Sanques (921)";"Parada EMT";"QUATRE CARRERES";39,4354391852406;-0,343624205866531
"PA73";"Valladolid - Vinaròs (1841)";"Parada EMT";"BENIMACLET";39,4895737440548;-0,362462576483028
"PA74";"Hospital 9 d'Octubre (2098)";"Parada EMT";"CAMPANAR";39,4785337318822;-0,400494426354422
"PA75";"Palau de la Música  (1775)";"Parada EMT";"EL PLA DEL REAL";39,4672537990785;-0,36047062722618
"PA76";"Garbí (1332)";"Parada EMT";"BENICALAP";39,49194938403;-0,394034498071198
"PA77";"Amado Granell Mesado (imparell) - la Plata (2299)";"Parada EMT";"L'EIXAMPLE";39,4573047491996;-0,363664898175938
"PA78";"Marqués de Sotelo (2278)";"Parada EMT";"CIUTAT VELLA";39,4680756071808;-0,376882491127359
"PA79";"Jaume Roig - Primat Reig (175)";"Parada EMT";"BENIMACLET";39,4831954997495;-0,362985400203498
"PA80";"Font d'en Corts (parell) - Davant Alqueria Reial (1149)";"Parada EMT";"QUATRE CARRERES";39,4474421883465;-0,359659108794218
"PA81";"Vicent Puchol - Arbres (1289)";"Parada EMT";"QUATRE CARRERES";39,427853233063;-0,36391505892185
"PA82";"Sant Vicent Màrtir - Almudaina (1350)";"Parada EMT";"JESUS";39,4529865894473;-0,384458755405232
"PA83";"Parc Gulliver  (1536)";"Parada EMT";"CAMINS AL GRAU";39,4631672596081;-0,358412298850087
"PA84";"La Cadena - Pare Antón Martí (1551)";"Parada EMT";"ALGIROS";39,4754360540853;-0,329062037323325
"PA85";"Palmaret - Rosa dels Vents (1562)";"Parada EMT";"POBLATS DEL NORD";39,5162151705061;-0,381396415686994
"PA86";"Constitució - Màlaga (328)";"Parada EMT";"LA SAIDIA";39,4852254907699;-0,378759338399965
"PA87";"Guadalaviar - Sagunt (342)";"Parada EMT";"LA SAIDIA";39,4820062206112;-0,375496178916018
"PA88";"Campanar - Ricardo Micó (364)";"Parada EMT";"BENICALAP";39,4858917489353;-0,390687983713776
"PA89";"Llorca - Pérez Galdós (428)";"Parada EMT";"EXTRAMURS";39,4684817197608;-0,392074924876616
"PA90";"Jesús (436)";"Parada EMT";"EXTRAMURS";39,4590821704938;-0,384248701652007
"PA91";"Fonteta Sant Lluís - Riu Sec (631)";"Parada EMT";"QUATRE CARRERES";39,4462747068237;-0,367126636597706
"PA92";"Velòdrom Lluís Puig (1153)";"Parada EMT";"POBLATS DE L'OEST";39,502306743816;-0,426394091104586
"PA93";"Mediterrània - Dr. Lluch (1242)";"Parada EMT";"ALGIROS";39,4675715425261;-0,328567471126584
"PA94";"Blasco Ibáñez - Serradora (1210)";"Parada EMT";"ALGIROS";39,4707604592404;-0,335584733052193
"PA95";"Eugènia Viñes - Mare de Déu del Sufragi (1052)";"Parada EMT";"POBLATS MARITIMS";39,4668893073974;-0,325334990891977
"PA96";"Tomàs Montañana (parell) - Astúries (1120)";"Parada EMT";"CAMINS AL GRAU";39,463607927553;-0,352307620145342
"PA97";"Mistral - Murta (987)";"Parada EMT";"BENIMACLET";39,4858664485196;-0,357820593980047
"PA98";"Hernàn Cortès - Ciril Amorós (834)";"Parada EMT";"L'EIXAMPLE";39,4670205751512;-0,370616877681639
"PA99";"Ciscar - Comte d'Altea (734)";"Parada EMT";"L'EIXAMPLE";39,4671769416682;-0,366316628589142
"PA100";"Escultor J. Capuz (imparell) - Pere Aleixandre (680)";"Parada EMT";"L'EIXAMPLE";39,4598673714746;-0,36129579652849
"PA101";"Cadis - Puerto Rico (717)";"Parada EMT";"L'EIXAMPLE";39,4618666319313;-0,373688591932879
"PA102";"Creu Coberta (577)";"Parada EMT";"JESUS";39,4483683490792;-0,385797520503076
"PA103";"Real de Madrid - Algar del Palància (582)";"Parada EMT";"JESUS";39,4332955390753;-0,391611558435554
"PA104";"Gravador Jordán - Escultor Pastor (634)";"Parada EMT";"QUATRE CARRERES";39,4443193480142;-0,367516612095308
"PA105";"Escola Oficial d'Idiomes (350)";"Parada EMT";"LA SAIDIA";39,4826568296104;-0,381429057741822
"PA106";"Corts Valencianes - Esc. Prof. de Sant Josep (405)";"Parada EMT";"CAMPANAR";39,4866030388685;-0,397110452488337
"PA107";"Camí de Montcada - Entrada Camí Carpesa (282)";"Parada EMT";"BENICALAP";39,502875682938;-0,382736712614699
"PA108";"Burjassot - Pintor Matarana (308)";"Parada EMT";"BENICALAP";39,4923934404577;-0,393309733491069
"PA109";"Mediterrani (10)";"Parada EMT";"ALGIROS";39,467233694136;-0,328305576752664
"PA110";"Jardí Botànic (697)";"Parada EMT";"EXTRAMURS";39,4753485400893;-0,388891252943953
"PA111";"Regne de València - Lluís Santàngel (723)";"Parada EMT";"L'EIXAMPLE";39,4638643726718;-0,369186695522184
"PA112";"Centre de Salut Gil i Morte (738)";"Parada EMT";"EXTRAMURS";39,4616106250622;-0,382298679648837
"PA113";"Bèrnia - Ausiàs March (639)";"Parada EMT";"L'EIXAMPLE";39,4540336041567;-0,372705483522348
"PA114";"Sapadors - Sant Gregori (645)";"Parada EMT";"L'EIXAMPLE";39,4590906092472;-0,368892946786704
"PA115";"Marqués del Túria - Jorge Juan (687)";"Parada EMT";"L'EIXAMPLE";39,4677856646952;-0,367606855292349
"PA116";"Tres Forques - Emili Lluch (529)";"Parada EMT";"L'OLIVERETA";39,4635482889868;-0,402833820878881
"PA117";"José Soto Micó - Síndic Mojolí (590)";"Parada EMT";"JESUS";39,4401096651921;-0,388694429656923
"PA118";"Sant Vicent Màrtir - Millars (595)";"Parada EMT";"JESUS";39,4566892005158;-0,383577067724758
"PA119";"Mestre Racional - Regne de València (602)";"Parada EMT";"L'EIXAMPLE";39,4634365410576;-0,363291354261216
"PA120";"Malilla - Pianista Empar Iturbi (609)";"Parada EMT";"L'EIXAMPLE";39,4543088013105;-0,378292949820891
"PA121";"Primat Reig - Campus Universitari (188)";"Parada EMT";"EL PLA DEL REAL";39,4801248660701;-0,358121499594735
"PA122";"Primat Reig - Bilbao (206)";"Parada EMT";"LA SAIDIA";39,4901428925234;-0,371558868678692
"PA123";"Aragó - Passeig de l'Albereda (219)";"Parada EMT";"EL PLA DEL REAL";39,4694833629155;-0,360204878680328
"PA124";"Vivers (224)";"Parada EMT";"EL PLA DEL REAL";39,47768294014;-0,367406930201099
"PA125";"Camí de Montcada - Poble Nou (283)";"Parada EMT";"BENICALAP";39,5050613459577;-0,383659145492378
"PA126";"Pius IX - Cabanilles (1473)";"Parada EMT";"JESUS";39,4451565614211;-0,392978720849679
"PA127";"Aiora (1503)";"Parada EMT";"CAMINS AL GRAU";39,4682448485961;-0,342658678835975
"PA128";"Mercat del Cabanyal (54)";"Parada EMT";"ALGIROS";39,4683155630304;-0,332411838453079
"PA129";"Platja Les Arenes (84)";"Parada EMT";"ALGIROS";39,4695961434547;-0,325700269464143
"PA130";"Petxina - Ferran el Catòlic (1424)";"Parada EMT";"EXTRAMURS";39,4771840887557;-0,390681821853295
"PA131";"Blasco Ibáñez - Bèlgica (169)";"Parada EMT";"EL PLA DEL REAL";39,4758318903334;-0,354839997262308
"PA132";"Molinell (parell) - Alboraia (1318)";"Parada EMT";"LA SAIDIA";39,4849411806036;-0,369712217674656
"PA133";"Punta al Mar (parell) - Riu (1374)";"Parada EMT";"POBLATS MARITIMS";39,4454954723558;-0,340442086517706
"PA134";"Hernández Lázaro - Centre  Comercial (1651)";"Parada EMT";"L'OLIVERETA";39,4767840578908;-0,403329624209256
"PA135";"la Safor - Mestre Rodrigo (1658)";"Parada EMT";"CAMPANAR";39,4882816278416;-0,404428049546721
